date,favorite_count,favorited,id,language,retweet_count,text,user_created_at,user_description,user_followers,user_friends,user_location,user_screen_name
2021-07-24 17:16:34,0,False,1418983458391609348,en,0,"@arshi_yasin @SonySportsIndia 3. If you weren’t willing to show these sports , you should have marketed it as ONLY… https://t.co/vimaoP2NnX",2021-06-25 18:01:25,Doctor| Sports enthusiast | Political observer | Indian,7.0,85,,sooramDB
2021-07-24 17:16:34,0,False,1418983458114781192,en,0,https://t.co/Vhb7EKnayY | Mirabai Chanu says winning medal at Olympics is a dream come true; dedicates it to her co… https://t.co/mxwMvw1mu4,2009-07-23 15:45:13,"South Asian Views On Global News. 25 Years of forging a strong bond with  The Community  through News Publication, Events, and  Digital News Media publishing",665.0,2092,"Chicago, IL",hiindia
2021-07-24 17:16:22,1,False,1418983406193496082,en,0,Congratulations Mirabai Chanu @mirabai_chanu for opening India's medal tally by winning silver in 49 kg weightlifti… https://t.co/nJ4d0r3iko,2016-11-19 13:22:24,,1542.0,3012,,Sumitupa05
2021-07-24 17:16:11,1,False,1418983361985622016,en,0,"Congratulations…💐💐

India's First Medal At Tokyo Olympics..

Weightlifter #MirabaiChanu won silver medal at the… https://t.co/ckjuTNTtcN",2021-02-21 05:48:15,Sun Institute of Pharmaceutical Education & Research (SIPER),5.0,10,"Lahar, India",SIPERLahar
2021-07-24 17:16:01,1,False,1418983317634957313,en,0,Many Congratulations 💐 to @mirabai_chanu for winning silver medal in weight lifting. This is first medal for India… https://t.co/4wJI4TQ3XL,2018-07-15 20:13:42,"...#respect_women #help_poor #save_girls...

Proud to be an indian...🇮🇳🚩

inspired by @narendramodiji",33.0,225,"Bikaner, India",VickyLegha
2021-07-24 17:15:55,1,False,1418983296067796993,en,1,"Congratulations #MirabaiChanu for achieving the first medal for India at Tokyo Olympics.

#Tokyo2020 #MirabaiChanu https://t.co/xtx4xuHxmO",2016-07-11 09:09:10,Into the production of Quality Milk and Milk products since 1977. Official Twitter handle of Sangam Dairy,984.0,8,Vadlamudi,sangamdairyap
2021-07-24 17:15:40,0,False,1418983231257518083,en,0,"From first ever Olympics medal in Solo tournament to First Medal of this Olympics, India has come a long way. Kudos… https://t.co/R946TeoIX6",2017-06-29 17:38:07,Student for Life | Centrist | एकं सद्विप्रा बहुधा वदन्ति,31.0,204,"Toronto, Ontario",vadabuoy
2021-07-24 17:15:27,0,False,1418983177264246790,en,0,"Congratulations #MirabaiChanu MIRABAI CHANU 🇮🇳🥈

Tokyo Olympics : Weightlifter Mirabai Chanu gave India its first m… https://t.co/cIz3hDVKze",2016-04-06 13:14:37,"I am proud to be an INDIAN
Sports addict.
Play Hockey, badminton, Throwball
Throwball National player
Spacial day 14 Aug. 
I don't have a dirty mind..",42.0,57,"Ghaziabad, India",pankaj_hinwar
2021-07-24 17:15:22,0,False,1418983155625873418,en,0,Agar athletics me crush k piche bhagane ka competition karwaye to India Olympics me Gold medal🥇 jeetega,2016-03-06 21:01:36,"MBA, B tech (IIT), investor, tweets related to political science, foreign policies, economics, finance, law, governance, life, motivation, inspiration, poetry",312.0,630,Bangalore,Intellectlove2
2021-07-24 17:15:16,0,False,1418983129650454530,en,1,India at Tokyo Olympics: Deepika Kumari and Pravin Jadhav bow out of quarterfinals in mixed team competition… https://t.co/5spsfw4BkH,2012-06-03 18:42:04,I have been making money online since 2009 via eCommerce and ranking in Google. I review internet marketing products and help people avoid costly mistakes.,59.0,86,"Seattle, WA",IMGuru451
2021-07-24 17:15:11,0,False,1418983111690493959,en,0,Hearty congratulations @mirabai_chanu for winning the silver medal for India. Very proud moment for every Indian. #Olympics,2013-01-29 17:09:20,Author: 'Myself' | Building: SriKarthik Enterprise,155.0,156,"Tamilnadu, India",SriKarthikVasu
2021-07-24 17:15:06,0,False,1418983087275495432,en,0,"Team India, its time to activate your beast mode at tokyo olympics! Go win ! ye hai humara victory punch!… https://t.co/nTibMmKqaR",2017-09-23 10:51:34,,42.0,124,"TAMLUK,PURBA MEDINIPUR, 721630",tamluk_nyk
2021-07-24 17:15:00,0,False,1418983062482923525,en,1,"Tokyo Olympics: As Team India marches holding the Tricolour in their hands, PM @narendramodi stands up to cheer for… https://t.co/6v9vocNMvu",2014-11-12 07:35:26,"•President, Mandvi Taluka Youth BJP •Sarpanch, Maska Gram Panchayat    
•Views expressed are personal
•RTs not endorsement",3194.0,2320,Mandvi-kutch,kirti_gor
2021-07-24 17:14:59,4,False,1418983060553482251,en,2,"My victory punch in support of India's contingent at Tokyo Olympics 2021. 

#Cheer4India https://t.co/qXo5TQEeB2",2013-02-07 10:33:18,"Activist| Linguist| CWC member, @ABVPvoice; ExNational Media Convener, ABVP| JNU,DU & @Uutah alumnus| Tweets personal| Proud to be followed by @narendramodi ji.",25102.0,1218,New Delhi,BahugunaSaket
2021-07-24 17:14:48,0,False,1418983011995951104,en,0,Acelot Academy heartily congratulates Mirabai Chanu for her exemplary performance in Weightlifting at Tokyo Olympic… https://t.co/aOAVzaWL5p,2021-06-06 10:58:18,Acelot Academy is an Institute dedicated to offer AI Powered Career Solutions from Youth till Retirement.,40.0,59,,Acelot_Academy
2021-07-24 17:14:42,0,False,1418982990286311425,en,1,"Tokyo Olympics: As Team India marches holding the Tricolour in their hands, PM @narendramodi stands up to cheer for… https://t.co/LrQlvmw9pg",2020-02-02 08:53:15,𝐍𝐚𝐭𝐢𝐨𝐧𝐚𝐥𝐢𝐬𝐭 𝐅𝐢𝐫𝐬𝐭 🚩🇮🇳 . .सक्रिय कार्यकर्ता गुजरात भाजपा✌️. . 𝐘𝐨𝐮𝐭𝐡 𝐀𝐜𝐭𝐢𝐯𝐢𝐬𝐭 .,588.0,512,,Ram__Rathod
2021-07-24 17:14:15,0,False,1418982876410908672,en,0,"Congratulations @mirabai_chanu for winning the first medal for India in #Olympics  🎉🎉🎉.
#Weightlifting… https://t.co/c7MCbXsAeA",2020-06-14 16:13:14,"Proud Indian & Chennai Boy | Student - BVM Global @ Perungudi
#Avidreader | #MusicMaker🎹 | #MusicLover🎵 | #Sportsfreak | #Cyclist 🚴",17.0,991,Chennai ,sairamana25
2021-07-24 17:14:12,0,False,1418982861370183680,en,0,"#Olympics  Save time. Download Inshorts, India's highest rated news app, to read news in 60 words.… https://t.co/phzPHZUUNh",2012-09-22 10:57:09,"Post Graduate English teacher, Head of Department and coordinator in charge of Junior College.",11.0,207,"Ghansoli, Navi Mumbai",ShriBani
2021-07-24 17:14:06,0,False,1418982835831115784,en,0,India's First Medal In #Tokyo2020 Congratulations Mirabai Chanu For The Silver 🥈 In #Weightlifting  #Olympics https://t.co/NYacmlkfgF,2020-03-25 19:54:18,New Age Politics ✊,195.0,92,"श्रीकाकुलम, भारत",NikhilJSP1
2021-07-24 17:14:01,0,False,1418982816839356422,en,0,@arshi_yasin @SonySportsIndia 2. Olympics is the only occasion where sports enthusiasts in India actually get to wi… https://t.co/lLVQO3094k,2021-06-25 18:01:25,Doctor| Sports enthusiast | Political observer | Indian,7.0,85,,sooramDB
2021-07-24 17:13:40,1,False,1418982730285469696,en,0,"After an exciting first day at Tokyo Olympics 

where #MirabaiChanu won silver medal for India, here is the match s… https://t.co/xwDBqKx31H",2020-07-19 04:44:28,"A Proud Citizen of INDIA, Living in Great State RAJASTHAN. A Person belonging from Marwari Rathore Rajput Family. A Hindu Rashtra supporter.A Student.",16.0,228,"Jaipur , Rajasthan ",Shiv_TheGreat
2021-07-24 17:13:30,0,False,1418982687990296579,en,0,History has been created by @mirabai_chanu  as she clinched India's first silver medal in weightlifting in Olympics… https://t.co/A2LYkjMEYC,2017-06-05 23:47:49,"Entrepreneur, Film Producer, Executive Director - Perfoming Arts and Acrobatics (Dance	 Forms,	 Theatre,	 Circus,	
Acrobatic)",65.0,104,Mumbai - Dubai,AliAkbarSultan4
2021-07-24 17:13:25,0,False,1418982663256514568,en,0,India 's 2nd individual medal took 44 years long in coning but the third individual medal came in the very next Oly… https://t.co/5n4AJV1ZFV,2013-01-04 11:36:30,"Chartered Accountant,   Personal tweets RTs/Favs/Follows are not endorsements",128.0,130,"New Delhi, India",Srinew2013
2021-07-24 17:13:07,0,False,1418982591433256961,en,0,"Thank you Mirabai Chanu for making India proud 🇮🇳 

Heartiest Congratulations #MirabaiChanu from #OntodotTeam 🏋️… https://t.co/Hxt8VUTxT9",2019-11-24 15:58:47,We offers a wide range of state-of-the art fitness equipment & multivitamins nutritional products which meet your daily requirement perfectly.,674.0,796,"Bengaluru, India",ontodot_
2021-07-24 17:13:04,4,False,1418982575725498384,en,0,"Congratulations @mirabai_chanu for achieving the first medal for India at Tokyo Olympics, we are proud of you!… https://t.co/frtwsVcQvw",2017-07-29 09:45:52,Official Account of Swaminarayan Vadtal Gadi- H.H. 1008 Acharya Shree Ajendraprasadji Maharaj & H.H. 108 Bhavi Acharya Shree Nrigendraprasadji Maharaj,2458.0,91,Vadtal,vadtalgadi
2021-07-24 17:13:00,0,False,1418982559992754178,en,0,Updates on the Tokyo Olympics 2020: Vikas Krishan launches India’s boxing campaign https://t.co/ePITyRXmse,2020-04-11 15:58:49,Hello Everyone In This Twitter I Want to inform you about Every Trending Report.,125.0,279,India,NewsForever2020
2021-07-24 17:13:00,0,False,1418982559288111110,en,0,"And this is how india 🇮🇳 start, with a medal🏅. Congratulations mam 
# Tokyo Olympics https://t.co/YYzzQCkkYG",2020-06-04 05:29:02,"student,",5.0,21,"Bazpur, India",sudeewakar
2021-07-24 17:11:55,0,False,1418982288763899912,en,0,Tokyo Olympics men's hockey: India beat New Zealand 3-2 in first match Great start team all good wishes 👏👏👏… https://t.co/IYDBv7LyLh,2009-11-16 06:20:21,"A proven, experienced Global Supply Chain Executive working across various industry sectors & Global regions. Golfer, Coaching individuals,visiting Professor",407.0,203,"Bangalore, India",balaakumar
2021-07-24 17:11:52,0,False,1418982273823559680,en,0,@blitzkreigm @mirabai_chanu @dominos_india @pratikpota i think they should provide this for all the medal winners at the olympics 2020,2021-01-15 07:44:57,,1.0,141,,Kvs35842357
2021-07-24 17:11:33,0,False,1418982196052910081,en,0,"Tokyo Olympics: As Team India marches holding the Tricolour in their hands, PM Modi stands up to cheer for them… https://t.co/aEAc6VB01l",2020-12-24 17:07:52,"mandal upadhyaksh...zilla Karol Bagh Media prabhari BJP
IT cell in mahila morcha teem Karol Bagh zilla
New Delhi",77.0,118,"New Delhi, India",SubodhiniG
2021-07-24 17:10:34,1,False,1418981946361729024,en,0,"A really intriguing day coming up for India at #Tokyo2020. They are heading in with a different type of feeling, ha… https://t.co/Y59ek0TZ1J",2014-10-17 06:08:41,A trier. Trying to hakuna matata. Words in Sportstar,485.0,1019,"Bengaluru, Karnataka",shankarstake
2021-07-24 17:10:27,5,False,1418981920050876416,en,0,"If taking U-Turn was a sport in Olympics, Kejriwal would have won a Gold Medal for India.",2013-12-17 18:47:44,,5092.0,2736,jaipur,iprashantm13
2021-07-24 17:10:17,0,False,1418981875520098312,en,0,#Olympics #Olympics2021 #COVID19 #VariantDelta #Sancho I often said whos  #Sancho #JudgeStoglin was a former black… https://t.co/1guHIrrMz6,2011-07-22 23:11:49,,96.0,5,Texas ,RiaEller
2021-07-24 17:10:08,0,False,1418981837666463747,en,0,INDIA Starts Olympics medal tally as Mirabai chanu wins silver in weightlifting watch video for more details… https://t.co/qk7TKeLnT9,2021-07-22 20:36:42,One stop destination for all sports related news and video mainly INDIAN Sports and other major Sporting events,0.0,1,,KhelTv
2021-07-24 17:10:06,39,False,1418981829198155777,en,2,"Watch | With #MirabaiChanu winning India's first medal at the #TokyoOlympics, The Hindu takes a look at who has won… https://t.co/VdA5MvKW2V",2009-02-13 06:04:24,News feeds from India's National Newspaper,7083449.0,211,"Chennai, India",the_hindu
2021-07-24 17:09:58,1,False,1418981795408777233,en,0,"SAIKHOM MIRABAI CHANU FROM INDIA WINS SILVER MEDAL IN TOKYO OLYMPICS
THE 2ND INDIAN WEIGHTLIFTER EVER TO WIN AN OLY… https://t.co/ZE8HSHZ36T",2014-09-25 20:05:56,"CONFUSED about the whereabouts and other interesting stuffs there in Bhubaneswar.

Facebook:
https://t.co/8FThx9DkWT

Instagram:
mybhubaneswar",1011.0,63,"bhubaneswar,odisha",MYBBSR
2021-07-24 17:09:57,0,False,1418981792820998156,en,0,"#Cheer4India
The Indian tricolour is held aloft as the Indian contingent marches at the inaugural of Tokyo Olympics… https://t.co/dyRb7LYbZt",2020-12-24 17:07:52,"mandal upadhyaksh...zilla Karol Bagh Media prabhari BJP
IT cell in mahila morcha teem Karol Bagh zilla
New Delhi",77.0,118,"New Delhi, India",SubodhiniG
2021-07-24 17:09:53,0,False,1418981775636893702,en,0,"#Cheer4India
As the Tokyo Olympics is set to begin, the dynamic Indian contingent is seen leading Team India at the… https://t.co/BmEBMR4DaT",2020-12-24 17:07:52,"mandal upadhyaksh...zilla Karol Bagh Media prabhari BJP
IT cell in mahila morcha teem Karol Bagh zilla
New Delhi",77.0,118,"New Delhi, India",SubodhiniG
